TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2023-01-08,0.0,88.0,25.6,4.64,4.0
2023-01-09,17.0,80.0,26.4,6.0,4.0
2023-01-10,0.0,84.0,26.4,6.24,4.0
2023-01-11,0.5,77.0,27.3,5.6,4.0
2023-01-12,0.0,81.0,26.9,7.68,3.0
2023-01-13,0.6,85.0,25.9,4.0,3.0
2023-01-14,41.3,80.0,26.8,6.72,3.0
2023-01-15,0.5,88.0,25.9,6.08,4.0
2023-01-16,13.0,85.0,26.0,5.28,3.0
2023-01-17,0.0,93.0,24.4,2.08,3.0
2023-01-18,3.8,92.0,24.7,2.48,2.0
2023-01-19,0.0,87.0,25.2,1.04,2.0
2023-01-20,0.0,85.0,25.4,2.72,3.0
2023-01-21,0.0,86.0,25.0,3.68,3.0
2023-01-22,1.1,84.0,25.9,3.6,3.0
2023-01-23,0.4,84.0,26.1,1.2,3.0
2023-01-24,1.0,85.0,25.5,2.72,3.0
2023-01-25,0.8,93.0,23.9,0.0,3.0
2023-01-26,11.0,85.0,24.9,3.52,4.0
2023-01-27,0.2,86.0,26.1,0.32,3.0
2023-01-28,1.4,92.0,24.6,0.0,3.0
2023-01-29,27.7,89.0,25.6,0.0,2.0
2023-01-30,1.0,87.0,25.9,2.72,4.0
2023-01-31,0.0,85.0,26.1,0.8,3.0
2023-02-01,5.6,88.0,25.3,1.6,2.0
2023-02-02,0.9,88.0,25.9,0.48,3.0
2023-02-03,6.2,82.0,25.6,0.24,3.0
2023-02-04,3.1,74.0,27.1,0.32,4.0
2023-02-05,0.0,76.0,26.0,6.4,5.0
2023-02-06,0.0,79.0,26.6,1.84,6.0
2023-02-07,0.6,77.0,27.0,3.52,4.0
2023-02-08,0.0,79.0,26.1,0.8,4.0
2023-02-09,5.0,73.0,26.2,1.84,4.0
2023-02-10,4.0,81.0,26.0,2.4,5.0
2023-02-11,0.5,89.0,25.9,0.4,4.0
2023-02-12,51.6,94.0,23.3,0.0,4.0
2023-02-13,10.4,88.0,23.9,2.8,3.0
2023-02-14,4.1,84.0,25.1,0.48,4.0
2023-02-15,5.0,85.0,24.9,0.0,5.0
